geneID	enzymes	shortNames	action	source
YGL148W	P28777	ARO2	OE	10.1016/j.ymben.2019.09.011
YNL316C	P32452	PHA2	OE	10.1016/j.ymben.2019.09.011
YDR380W	Q06408	ARO10	OE	10.1016/j.ymben.2019.09.011
YDR127W	P08566	ARO1	OE	10.1016/j.ymben.2019.09.011
YBR249C	P32449	ARO4	OE	10.1016/j.ymben.2019.09.011
YPR060C	P32178	ARO7	OE	10.1016/j.ymben.2019.09.011
YNL241C	P11412	ZWF1	OE	10.1101/2023.01.31.526512
YGL202W		ARO8	KO	10.1016/j.ymben.2019.09.011
		MT2	OE	10.12211/2096-8280.2020-096
YPR074C		TKL1	OE	10.1016/j.ymben.2019.09.011
YDR035W		ARO3	OE	10.1016/j.ymben.2019.09.011
YHR137W		ARO9	OE	10.1016/j.ymben.2019.09.011
YAL038W		PYK1	KD	10.1016/j.ymben.2019.09.011
