geneID	enzymes	shortNames	action	source
YDL205C		HEM3	OE	10.1073/pnas.2108245119
YDR044W		HEM13	OE	10.1073/pnas.2108245119
YDR047W		HEM12	OE	10.1073/pnas.2108245119
YGL040C		HEM2	OE	10.1073/pnas.2108245119
YDR376W		ARH1	OE	10.1073/pnas.2108245119
YER014W		HEM14	OE	10.1073/pnas.2108245119
YMR319C		FET4	OE	10.1073/pnas.2108245119
YOR176W		HEM15	OE	10.1073/pnas.2108245119
YPL172C		COX10	OE	10.1073/pnas.2108245119
YPL252C		YAH1	OE	10.1073/pnas.2108245119
YMR058W		FET3	OE	10.1073/pnas.2108245119
YEL047C		FRD1	OE	10.1073/pnas.2108245119
YDL171C		GLT1	OE	10.1073/pnas.2108245119
YNR043W		MVD1	OE	10.1073/pnas.2108245119
YPR021C		AGC1	OE	10.1073/pnas.2108245119
YOL126C		MDH2	OE	10.1073/pnas.2108245119
YCR024C-A		PMP1	OE	10.1073/pnas.2108245119
YPL036W		PMA2	OE	10.1073/pnas.2108245119
YBR218C		PYC2	OE	10.1073/pnas.2108245119
YGL062W		PYC1	OE	10.1073/pnas.2108245119
YGR243W		MPC3	OE	10.1073/pnas.2108245119
YHR162W		MPC2	OE	10.1073/pnas.2108245119
YOR095C		RKI1	OE	10.1073/pnas.2108245119
YHR174W		ENO2	OE	10.1073/pnas.2108245119
YGR192C		TDH3	OE	10.1073/pnas.2108245119
YJL052W		TDH1	OE	10.1073/pnas.2108245119
YJR009C		TDH2	OE	10.1073/pnas.2108245119
YGR240C		PFK1	OE	10.1073/pnas.2108245119
YMR205C		PFK2	OE	10.1073/pnas.2108245119
YLL052C		AQY2	OE	10.1073/pnas.2108245119
YPR192W		AQY1	OE	10.1073/pnas.2108245119
YER070W		RNR1	KO	10.1073/pnas.2108245119
YGR180C		RNR4	KO	10.1073/pnas.2108245119
YGR157W		CHO2	KO	10.1073/pnas.2108245119
YJR073C		OPI3	KO	10.1073/pnas.2108245119
YOR175C		ALE1	KO	10.1073/pnas.2108245119
YBR263W		SHM1	KO	10.1073/pnas.2108245119
YDL052C		SLC1	KO	10.1073/pnas.2108245119
