geneID,Entry,geneNames,geneName
YER125W,P39940,RSP5;MDP1;NPI1;YER125W;SYGP-ORF41,RSP5
YLR342W,P38631,FKS1;CND1;CWH53;ETG1;GLS1;GSC1;PBR1;YLR342W;L8300.6,FKS1
YDR477W,P06782,SNF1;CAT1;CCR1;GLC2;PAS14;YDR477W;D8035.20,SNF1
YDR283C,P15442,GCN2;AAS1;YDR283C,GCN2
YHR005C,P08539,GPA1;CDC70;DAC1;SCG1;YHR005C,GPA1
YGL173C,P22147,XRN1;DST2;KEM1;RAR5;SEP1;SKI1;YGL173C;G1645,XRN1
YGL180W,P53104,ATG1;APG1;AUT3;CVT10;YGL180W;G1615,ATG1
YOL090W,P25847,MSH2;YOL090W;O0935,MSH2
YBR160W,P00546,CDC28;CDK1;HSL5;SRM5;YBR160W;YBR1211,CDC28
YOR326W,P19524,MYO2;CDC66;YOR326W;O6167,MYO2
YBL078C,P38182,ATG8;APG8;AUT7;CVT5;YBL078C;YBL0732,ATG8
YLR044C,P06169,PDC1;YLR044C;L2104,PDC1
YOL115W,P53632,PAP2;TRF4;YOL115W;HRC584;O0716,PAP2
YHL007C,Q03497,STE20;YHL007C,STE20
YNL330C,P32561,RPD3;MOF6;REC3;SDI2;SDS6;YNL330C;N0305,RPD3
YPL240C,P02829,HSP82;HSP90;YPL240C,HSP82
YLR113W,P32485,HOG1;SSK3;YLR113W;L2931;L9354.2,HOG1
YLL026W,P31539,HSP104;YLL026W;L0948,HSP104
YML028W,P34760,TSA1;TPX1;TSA;ZRG14;YML028W,TSA1
YER133W,P32598,GLC7;CID1;DIS2;YER133W,GLC7
YDL126C,P25694,CDC48;YDL126C,CDC48
YDL042C,P06700,SIR2;MAR1;YDL042C;D2714,SIR2
YPR165W,P06780,RHO1;YPR165W;P9325.3,RHO1
YFL038C,P01123,YPT1;YP2;YFL038C,YPT1
YDR097C,Q03834,MSH6;PMS3;YDR097C;YD8557.04C,MSH6
YJR066W,P35169,TOR1;DRR1;YJR066W;J1803,TOR1
YJR149W,P47177,YJR149W;J2213,YJR149W
YGR256W,P53319,GND2;YGR256W;G9170,GND2
YOL165C,Q08361,AAD15;YOL165C,AAD15
YFL056C,P43547,AAD6;YFL056C,AAD6
YDL203C,Q07622,ACK1;YDL203C;D1066,ACK1
YPL267W,Q08981,ACM1;YPL267W,ACM1
YGL205W,P13711,POX1;FOX1;YGL205W,POX1
YMR303C,P00331,ADH2;ADR2;YMR303C;YM9952.05C,ADH2
YCR105W,P25377,ADH7;YCR105W,ADH7
YJR105W,P47143,ADO1;YJR105W;J1973,ADO1
YCR011C,P25371,ADP1;YCR011C;YCR105;YCR11C,ADP1
YLR227C,Q05955,ADY4;YLR227C;L8083.11,ADY4
YNL107W,P53930,YAF9;YNL107W;N1966,YAF9
YLR397C,P32794,AFG2;YLR397C;L8084.16,AFG2
YCL025C,P25376,AGP1;YCL025C;YCL25C,AGP1
YOR014W,P38903,RTS1;SCS1;YOR014W;OR26.04,RTS1
YDL243C,Q07747,AAD4;YDL243C,AAD4
YKL106W,Q01802,AAT1;YKL106W;YKL461,AAT1
YOR239W,Q08641,ABP140;TRM140;YOR239W;YOR240W,ABP140
YJR108W,P47146,ABM1;YJR108W;J1988,ABM1
YNR016C,Q00955,ACC1;ABP2;FAS3;MTR7;YNR016C;N3175,ACC1
YGR037C,P31787,ACB1;ACB;YGR037C,ACB1
YBL015W,P32316,ACH1;YBL015W;YBL03.18;YBL0304,ACH1
YLR304C,P19414,ACO1;GLU1;YLR304C;L8003.22,ACO1
YKL192C,P32463,ACP1;YKL192C,ACP1
YIL107C,P40433,PFK26;YIL107C,PFK26
YNL331C,P42884,AAD14;YNL331C;N0300,AAD14
YOR302W,P08521,YOR302W,YOR302W
YAL054C,Q01574,ACS1;YAL054C;FUN44,ACS1
YFL039C,P60010,ACT1;ABY1;END7;YFL039C,ACT1
YOL086C,P00330,ADH1;ADC1;YOL086C;O0947,ADH1
YBR145W,P38113,ADH5;YBR145W;YBR1122,ADH5
YLR131C,P21192,ACE2;YLR131C;L3123;L9606.10,ACE2
YDR161W,Q03771,ACL4;YDR161W,ACL4
YGL055W,P21147,OLE1;YGL055W,OLE1
YJL200C,P39533,ACO2;YJL200C;J0327,ACO2
YDR448W,Q02336,ADA2;YDR448W;D9461.33,ADA2
YMR184W,Q03233,ADD37;YMR184W;YM8010.14,ADD37
YBR194W,P38305,AIM4;SOY1;YBR194W;YBR1404,AIM4
YMR092C,P46680,AIP1;YMR092C;YM9582.17C,AIP1
YGL047W,P53178,ALG13;YGL047W,ALG13
YBR070C,P38242,ALG14;YBR070C;YBR0711,ALG14
YBR110W,P16661,ALG1;YBR110W;YBR0906,ALG1
YOL130W,Q08269,ALR1;YOL130W,ALR1
YMR083W,P07246,ADH3;YMR083W;YM9582.08,ADH3
YGL256W,P10127,ADH4;ZRG5;YGL256W;NRC465,ADH4
YMR318C,Q04894,ADH6;YMR318C;YM9924.10C,ADH6
YDR216W,P07248,ADR1;YDR216W;YD8142.16;YD8142B.08,ADR1
YHR185C,P38872,PFS1;ADY1;YHR185C,PFS1
YCR010C,P25613,ADY2;ATO1;YCR010C;YCR10C,ADY2
YER017C,P39925,AFG3;YTA10;YER017C,AFG3
YDR085C,P33304,AFR1;YDR085C;D4471,AFR1
YGL032C,P32781,AGA2;YGL032C,AGA2
YEL058W,P38628,PCM1;AGM1;YEL058W,PCM1
YCR082W,P25649,AHC2;YCR082W;YCR82W,AHC2
YER093C-A,P87275,AIM11;GEP8;YER093C-A,AIM11
YGL160W,P53109,AIM14;YGL160W;G1837,AIM14
YGL190C,Q00362,CDC55;YGL190C;G1345,CDC55
YGL115W,P12904,SNF4;CAT3;SCI1;YGL115W,SNF4
YHR047C,P37898,AAP1;YHR047C,AAP1
YIL036W,P40535,CST6;ACA2;YIL036W,CST6
YER065C,P28240,ICL1;YER065C,ICL1
YPR006C,Q12031,ICL2;YPR006C;LPZ6C;YP9723.06C,ICL2
YJR083C,P47129,ACF4;YJR083C;J1857,ACF4
YJR025C,P47096,BNA1;HAD1;YJR025C;J1550,BNA1
YPL088W,Q02895,AAD16;YPL088W,AAD16
YMR072W,Q02486,ABF2;HIM1;YMR072W;YM9916.11,ABF2
YER045C,P39970,ACA1;YER045C,ACA1
YDR376W,P48360,ARH1;YDR376W;D9481.5,ARH1
YPL252C,Q12184,YAH1;YPL252C,YAH1
YDL239C,Q07732,ADY3;YDL239C,ADY3
YMR064W,P32493,AEP1;NCA1;YMR064W;YM9916.03,AEP1
YMR282C,P22136,AEP2;ATP13;YMR282C;YM8021.08C,AEP2
YGL071W,P22149,AFT1;RCS1;YGL071W,AFT1
YNR044W,P32323,AGA1;YNR044W;N3431,AGA1
YIL044C,P40529,AGE2;YIL044C,AGE2
YOR023C,Q12433,AHC1;YOR023C;OR26.13,AHC1
YLR109W,P38013,AHP1;YLR109W;L2916;L9354.5,AHP1
YNR074C,P52923,AIF1;CPD1;YNR074C;N3815,AIF1
YIL158W,P40451,AIM20;YIL158W,AIM20
YJL131C,P47015,AIM23;YJL131C;J0682,AIM23
YOL053W,Q08223,AIM39;YOL053W;O1269,AIM39
YIL079C,P40507,AIR1;YIL079C,AIR1
YDL175C,Q12476,AIR2;YDL175C,AIR2
YDR264C,P39010,AKR1;YDR264C;D9954.9;YD9230B.03C,AKR1
YLR089C,P52893,ALT1;YLR089C;L9449.15,ALT1
YMR169C,P54114,ALD3;ALD4;YMR169C;YM8520.18C,ALD3
YER073W,P40047,ALD5;ALD3;ALDH5;YER073W,ALD5
YGR227W,P50076,DIE2;ALG10;YGR227W;G8547,DIE2
YGL065C,P43636,ALG2;YGL065C,ALG2
YOR002W,Q12001,ALG6;YOR002W;UNA544,ALG6
YIR029W,P25335,DAL2;ALC1;YIR029W,DAL2
YBR158W,P38285,AMN1;CST13;ICS4;YBR158W;YBR1208,AMN1
YLR153C,P52910,ACS2;YLR153C;L9634.10,ACS2
YMR056C,P04710,AAC1;YMR056C;YM9796.09C,AAC1
YPL005W,Q12089,AEP3;YPL005W;YP8132.08,AEP3
YEL052W,P32317,AFG1;AFG;YEL052W,AFG1
YOR129C,Q99222,AFI1;YOR129C;YOR3296C,AFI1
YDR524C,Q04412,AGE1;SAT1;YDR524C;D9719.28,AGE1
YML050W,Q04689,AIM32;YML050W;YM9827.02,AIM32
YBR108W,P38266,AIM3;YBR108W;YBR0901,AIM3
YPL158C,Q99299,AIM44;YPL158C;P2570,AIM44
YHR199C,P38885,AIM46;FMP34;YHR199C,AIM46
YER052C,P10869,HOM3;YER052C,HOM3
YPL061W,P54115,ALD6;ALDH1;YPL061W;LPE9,ALD6
YKL060C,P14540,FBA1;YKL060C;YKL320,FBA1
YAL016W,P31383,TPD3;YAL016W;FUN32,TPD3
YOL136C,Q12471,PFK27;YOL136C,PFK27
YHR183W,P38720,GND1;YHR183W,GND1
YJR155W,P47182,AAD10;YJR155W;J2245,AAD10
YCR107W,P25612,AAD3;YCR107W,AAD3
YBL074C,P32357,AAR2;YBL074C;YBL06.06;YBL0611,AAR2
YLR027C,P23542,AAT2;ASP5;YLR027C;L1746,AAT2
YKL112W,P14164,ABF1;BAF1;OBF1;REB2;SBF1;YKL112W;YKL505,ABF1
YCR088W,P15891,ABP1;YCR088W;YCR88W,ABP1
YDL008W,Q12157,APC11;YDL008W;D2900,APC11
YNL077W,P53940,APJ1;YNL077W;N2342,APJ1
YHL019C,P38700,APM2;YHL019C,APM2
YKL114C,P22936,APN1;YKL114C;YKL513,APN1
YLR118C,Q12354,YLR118C;L2955,YLR118C
YOR258W,Q08702,HNT3;YOR258W,HNT3
YLL052C,P0CD90,AQY2;AQY2-2;YLL052C;L0590,AQY2
YMR041C,Q04212,ARA2;YMR041C;YM9532.06C,ARA2
YER036C,P40024,ARB1;YER036C,ARB1
YML099C,P05085,ARG81;ARGR2;YML099C,ARG81
YGL157W,P53111,ARI1;YGL157W;G1857,ARI1
YNL020C,P53974,ARK1;YNL020C;N2823,ARK1
