,seed_id
s_0001[ce],C00965
s_0002[c],C00965
s_0003[e],C00965
s_0004[ce],C02493
s_0006[m],C04807
s_0007[c],C11514
s_0008[m],C06007
s_0009[c],C04411
s_0010[c],C04236
s_0011[m],C04236
s_0012[m],C04593
s_0013[c],CHEBI:53026
s_0014[n],CHEBI:53026
s_0015[c],C03406
s_0016[m],C04272
s_0017[c],C03492
s_0018[c],C01143
s_0019[c],C01107
s_0020[c],C00810
s_0021[c],C00318
s_0022[e],C00318
s_0023[m],C00318
s_0024[p],C00318
s_0025[c],C00256
s_0026[e],C00256
s_0027[m],C00256
s_0028[c],C00418
s_0029[e],C00418
s_0030[c],C00522
s_0031[c],C00864
s_0032[e],C00864
s_0033[c],C03451
s_0034[m],C03451
s_0035[c],C03044
s_0036[e],C03044
s_0037[c],C01054
s_0038[er],C01054
s_0039[m],CHEBI:49256
s_0042[p],C05264
s_0045[p],CHEBI:52976
s_0048[p],C05262
s_0051[p],C05258
s_0054[p],C05260
s_0056[c],C00671
s_0058[e],C00671
s_0060[m],C00671
s_0061[c],C00337
s_0062[c],C00424
s_0063[c],C00186
s_0064[e],C00186
s_0065[m],C00186
s_0066[c],C00149
s_0067[e],C00149
s_0068[m],C00149
s_0069[p],C00149
s_0075[c],C00236
s_0076[c],C01302
s_0077[c],C04896
s_0078[c],C02741
s_0079[c],C01225
s_0080[e],C01225
s_0084[e],C04230
s_0086[c],C03506
s_0087[c],C02918
s_0089[c],C01194
s_0116[c],C04281
s_0117[m],C04281
s_0118[c],C04322
s_0119[m],C04322
s_0120[c],C00234
s_0121[m],C00234
s_0122[c],C05108
s_0123[n],C01272
s_0124[n],C11555
s_0125[n],C01245
s_0126[c],C01177
s_0127[er],C01177
s_0129[m],C04006
s_0131[c],C02353
s_0132[c],C00559
s_0133[e],C00559
s_0134[c],C00330
s_0135[e],C00330
s_0136[c],C05512
s_0137[e],C05512
s_0138[c],C00526
s_0139[e],C00526
s_0140[c],C01159
s_0141[c],C01304
s_0142[c],CHEBI:52402
s_0143[c],C04441
s_0144[c],C04692
s_0145[m],C01250
s_0146[m],C00900
s_0147[c],CHEBI:29044
s_0148[m],C01300
s_0149[c],C00966
s_0150[m],C00966
s_0152[c],C01801
s_0153[c],C00673
s_0154[m],C05805
s_0155[m],C05803
s_0156[m],C05804
s_0157[m],C05802
s_0158[c],C15556
s_0161[er],CHEBI:50626
s_0162[c],C02504
s_0163[e],C02504
s_0164[m],C02504
s_0165[c],C02631
s_0166[c],C02223
s_0167[e],C02223
s_0168[m],C02223
s_0169[c],CHEBI:48945
s_0170[e],CHEBI:48945
s_0171[m],CHEBI:48945
s_0172[c],CHEBI:50585
s_0173[e],CHEBI:50585
s_0174[m],C02225
s_0176[c],C00322
s_0177[m],C00322
s_0178[c],C00109
s_0179[m],C00109
s_0180[c],C00026
s_0181[e],C00026
s_0182[m],C00026
s_0183[n],C00026
s_0184[p],C00026
s_0185[c],C05853
s_0186[e],C05853
s_0187[m],C05853
s_0188[c],C00631
s_0189[c],C00353
s_0190[c],C00448
s_0191[m],C00448
s_0192[c],C00575
s_0193[c],C00941
s_0194[c],C00968
s_0195[c],C00942
s_0196[c],C00943
s_0197[c],C00882
s_0200[m],C00882
s_0201[c],C00053
s_0204[c],C01179
s_0206[p],C01179
s_0207[c],C01267
s_0208[c],CHEBI:58374
s_0209[c],C15816
s_0210[c],C00944
s_0211[c],C02637
s_0212[c],C05200
s_0213[m],C05200
s_0214[m],C05313
s_0215[c],C13425
s_0216[m],C13425
s_0217[c],CHEBI:52960
s_0218[c],C00356
s_0221[m],C00356
s_0222[c],C03227
s_0224[c],C00632
s_0229[p],C16217
s_0231[er],C02934
s_0232[c],C00141
s_0233[m],C00141
s_0234[c],C07329
s_0235[e],C07329
s_0236[m],C07329
s_0239[p],C05265
s_0243[p],CHEBI:52977
s_0247[p],C05263
s_0250[p],C16216
s_0253[p],C05259
s_0257[p],C05261
s_0258[c],C03232
s_0259[c],C01005
s_0260[c],C00197
s_0261[c],C03175
s_0262[c],C11455
s_0263[c],CHEBI:53066
s_0264[c],C06055
s_0267[c],C04752
s_0268[c],C04556
s_0269[c],C11355
s_0270[c],C01279
s_0271[c],C00568
s_0272[e],C00568
s_0273[m],C00568
s_0274[c],C00555
s_0275[m],C00555
s_0279[c],CHEBI:53064
s_0280[c],C03078
s_0281[c],C01035
s_0282[c],C01127
s_0283[m],C01127
s_0284[p],C01127
s_0285[c],C06056
s_0286[c],C00156
s_0287[m],C00156
s_0290[m],C02949
s_0291[c],C00233
s_0292[m],C00233
s_0293[c],C04327
s_0294[c],C01180
s_0295[c],C03082
s_0296[c],C05103
s_0297[c],C15808
s_0298[c],C00224
s_0299[c],C04823
s_0300[c],C03373
s_0301[c],C04376
s_0302[c],C04640
s_0303[c],C00170
s_0304[c],C00445
s_0305[m],C00445
s_0306[c],C00143
s_0307[m],C00143
s_0308[c],C09332
s_0309[c],CHEBI:52965
s_0310[c],C04294
s_0311[c],C15650
s_0312[c],C04916
s_0313[c],C04454
s_0314[c],C04732
s_0315[c],C00430
s_0316[e],C00430
s_0317[m],C00430
s_0318[c],C11526
s_0319[c],C03479
s_0320[e],C03479
s_0321[m],C03479
s_0322[c],C00440
s_0323[c],C04489
s_0324[c],C01269
s_0325[c],C03838
s_0326[c],C02739
s_0327[c],C03090
s_0328[c],C04332
s_0329[er],C04248
s_0330[er],CHEBI:53055
s_0331[er],C01288
s_0332[er],CHEBI:53060
s_0333[c],CHEBI:53065
s_0334[er],CHEBI:53056
s_0335[c],C01236
s_0337[er],CHEBI:53057
s_0338[er],CHEBI:53059
s_0339[er],CHEBI:53058
s_0340[c],C00345
s_0341[c],C01037
s_0342[e],C01037
s_0343[c],C04874
s_0344[m],C04874
s_0345[c],C05925
s_0346[c],C04895
s_0347[c],C00921
s_0348[m],C00921
s_0349[c],C04691
s_0350[m],C04691
s_0352[c],C01092
s_0354[e],C01092
s_0357[c],C00385
s_0358[e],C00385
s_0359[c],C00084
s_0360[e],C00084
s_0361[m],C00084
s_0362[c],C00033
s_0363[er],C00033
s_0364[e],C00033
s_0365[m],C00033
s_0366[n],C00033
s_0367[c],C00332
s_0370[m],C00332
s_0372[m],C03939
s_0373[c],C00024
s_0376[m],C00024
s_0377[n],C00024
s_0378[p],C00024
s_0383[c],C00147
s_0384[e],C00147
s_0385[m],C00147
s_0386[c],C00212
s_0387[e],C00212
s_0389[c],C00946
s_0390[c],C00054
s_0391[e],C00054
s_0392[m],C00054
s_0393[c],C03794
s_0394[c],C00008
s_0395[er],C00008
s_0397[m],C00008
s_0398[n],C00008
s_0399[p],C00008
s_0402[n],C00301
s_0403[c],C04677
s_0405[c],C00499
s_0406[e],C00499
s_0407[c],C01551
s_0408[e],C01551
s_0409[c],C00689
s_0410[c],C00446
s_0411[c],C06156
s_0412[c],C00352
s_0413[e],C00352
s_0414[g],C05861
s_0415[c],C00620
s_0416[m],C00620
s_0417[c],C06735
s_0418[c],C01888
s_0419[c],C01342
s_0420[e],C01342
s_0421[m],C01342
s_0423[c],C00020
s_0424[m],C00020
s_0425[n],C00020
s_0426[p],C00020
s_0427[c],C00108
s_0428[c],C02163
s_0429[m],C02163
s_0430[c],C03402
s_0431[m],C03402
s_0432[c],C02984
s_0433[m],C02984
s_0434[c],C00002
s_0435[er],C00002
s_0437[m],C00002
s_0438[n],C00002
s_0439[p],C00002
