,seed_id
s_0001,C00965
s_0002,C00965
s_0003,C00965
s_0004,C02493
s_0006,C04807
s_0007,C11514
s_0008,C06007
s_0009,C04411
s_0010,C04236
s_0011,C04236
s_0012,C04593
s_0013,CHEBI:53026
s_0014,CHEBI:53026
s_0015,C03406
s_0016,C04272
s_0017,C03492
s_0018,C01143
s_0019,C01107
s_0020,C00810
s_0021,C00318
s_0022,C00318
s_0023,C00318
s_0024,C00318
s_0025,C00256
s_0026,C00256
s_0027,C00256
s_0028,C00418
s_0029,C00418
s_0030,C00522
s_0031,C00864
s_0032,C00864
s_0033,C03451
s_0034,C03451
s_0035,C03044
s_0036,C03044
s_0037,C01054
s_0038,C01054
s_0039,CHEBI:49256
s_0042,C05264
s_0045,CHEBI:52976
s_0048,C05262
s_0051,C05258
s_0054,C05260
s_0056,C00671
s_0058,C00671
s_0060,C00671
s_0061,C00337
s_0062,C00424
s_0063,C00186
s_0064,C00186
s_0065,C00186
s_0066,C00149
s_0067,C00149
s_0068,C00149
s_0069,C00149
s_0075,C00236
s_0076,C01302
s_0077,C04896
s_0078,C02741
s_0079,C01225
s_0080,C01225
s_0084,C04230
s_0086,C03506
s_0087,C02918
s_0089,C01194
s_0116,C04281
s_0117,C04281
s_0118,C04322
s_0119,C04322
s_0120,C00234
s_0121,C00234
s_0122,C05108
s_0123,C01272
s_0124,C11555
s_0125,C01245
s_0126,C01177
s_0127,C01177
s_0129,C04006
s_0131,C02353
s_0132,C00559
s_0133,C00559
s_0134,C00330
s_0135,C00330
s_0136,C05512
s_0137,C05512
s_0138,C00526
s_0139,C00526
s_0140,C01159
s_0141,C01304
s_0142,CHEBI:52402
s_0143,C04441
s_0144,C04692
s_0145,C01250
s_0146,C00900
s_0147,CHEBI:29044
s_0148,C01300
s_0149,C00966
s_0150,C00966
s_0152,C01801
s_0153,C00673
s_0154,C05805
s_0155,C05803
s_0156,C05804
s_0157,C05802
s_0158,C15556
s_0161,CHEBI:50626
s_0162,C02504
s_0163,C02504
s_0164,C02504
s_0165,C02631
s_0166,C02223
s_0167,C02223
s_0168,C02223
s_0169,CHEBI:48945
s_0170,CHEBI:48945
s_0171,CHEBI:48945
s_0172,CHEBI:50585
s_0173,CHEBI:50585
s_0174,C02225
s_0176,C00322
s_0177,C00322
s_0178,C00109
s_0179,C00109
s_0180,C00026
s_0181,C00026
s_0182,C00026
s_0183,C00026
s_0184,C00026
s_0185,C05853
s_0186,C05853
s_0187,C05853
s_0188,C00631
s_0189,C00353
s_0190,C00448
s_0191,C00448
s_0192,C00575
s_0193,C00941
s_0194,C00968
s_0195,C00942
s_0196,C00943
s_0197,C00882
s_0200,C00882
s_0201,C00053
s_0204,C01179
s_0206,C01179
s_0207,C01267
s_0208,CHEBI:58374
s_0209,C15816
s_0210,C00944
s_0211,C02637
s_0212,C05200
s_0213,C05200
s_0214,C05313
s_0215,C13425
s_0216,C13425
s_0217,CHEBI:52960
s_0218,C00356
