gene_IDs,gene_names,k_score,action
YBR041W,,1000.0,OE
YBR159W,,41.96455617176363,OE
YJL097W,,41.96455617176363,OE
YCR034W,,41.96455617176363,OE
YDL015C,,41.96455617176363,OE
YNR016C,,11.181618276347868,OE
YDL141W,,11.181618276347868,OE
YGR087C,,11.055033219313563,OE
YLR044C,,11.055033219313563,OE
YLR134W,,11.055033219313563,OE
YPL061W,,11.055033219313563,OE
YAL054C,,10.60730329211488,OE
YLR153C,,10.60730329211488,OE
YPL231W,,10.138923563774643,OE
YKL182W,,10.138923563774643,OE
YNL036W,,3.5752331855807227,OE
YDR226W,,2.1126069813058836,OE
YMR267W,,1.86005816676246,OE
YLR354C,,1.5678205117458555,OE
YGR043C,,1.5678205117458555,OE
YAL038W,,1.4051620184628344,OE
YOR347C,,1.4051620184628344,OE
YHR174W,,1.349293648590291,OE
YOR393W,,1.349293648590291,OE
YMR323W,,1.349293648590291,OE
YGR254W,,1.349293648590291,OE
YOR283W,,1.349293648590291,OE
YPL281C,,1.349293648590291,OE
YKL152C,,1.349293648590291,OE
YDR050C,,1.3171228026864579,OE
YGR240C,,1.3032909047021328,OE
YMR205C,,1.3032909047021328,OE
YKL060C,,1.3032909047021328,OE
YJL052W,,1.2874064427537284,OE
YGR192C,,1.2874064427537284,OE
YCR012W,,1.2874064427537284,OE
YJR009C,,1.2874064427537284,OE
YPR074C,,1.1702146523264967,OE
YBR117C,,1.1702146523264967,OE
YJL121C,,1.1678224183654187,OE
YDL085W,,1.16521244986662,OE
YMR145C,,1.16521244986662,OE
YGR248W,,1.1211317258978275,OE
YGR256W,,1.1211317258978275,OE
YHR183W,,1.1211317258978275,OE
YNL241C,,1.1211317258978275,OE
YHR163W,,1.1211317258978275,OE
YOR095C,,1.0411033878794467,OE
YGL080W,,0.19459975410381378,KD
YGR243W,,0.19459975410381378,KD
YHR162W,,0.19459975410381378,KD
YPL262W,,0.19359543208851585,KD
YNL071W,,0.1839782974427986,KD
YER178W,,0.1839782974427986,KD
YBR221C,,0.1839782974427986,KD
YGR193C,,0.1839782974427986,KD
YFL018C,,0.1831164638807781,KD
YPR001W,,0.16800102037203665,KD
YNR001C,,0.16800102037203665,KD
YKL085W,,0.16800102037203665,KD
YIL125W,,0.13990682861402604,KD
YDR148C,,0.13990682861402604,KD
YFR049W,,0.13969108486684276,KD
YGR244C,,0.13969086417705542,KD
YOR142W,,0.13969086417705542,KD
YMR165C,,0.0,KO
YMR162C,,0.0,KO
YIL048W,,0.0,KO
YAL026C,,0.0,KO
